Proposal_ID,Sampling_Set,Core_Section,Sample_Name,Bulk_density_g_per_cm3,flag_Bulk_density,Beta_Glucosidase_ug_pNP_per_g_per_h,flag_Beta_Glucosidase,GWC_percent,flag_GWC,HClExtOM_TOC_mg_per_kg,flag_HClExtOM_TOC,HClExtOM_TN_mg_per_kg,flag_HClExtOM_TN,Ca_meq_per_100g,Mg_meq_per_100g,Na_meq_per_100g,K_meq_per_100g,SO4_S_mg_per_kg,B_mg_per_kg,Zn_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Fe_mg_per_kg,flag_Ca,flag_Mg,flag_Na,flag_K,flag_SO4S,flag_B,flag_Zn,flag_Mn,flag_Cu,flag_Fe,MBC_mg_per_kg,flag_MBC,MBN_mg_per_kg,flag_MBN,NO3_N_mg_per_kg,flag_NO3N,NH4_N_mg_per_kg,flag_NH4N,PO4_P_mg_per_kg,flag_P,pH,flag_pH,Sand_percent,Silt_percent,Clay_percent,flag_Texture,WEOM_TOC_mg_per_kg,flag_WEOM_TOC,WEOM_TN_mg_per_kg,flag_WEOM_TN
61078,1,TOP,61078_1_TOP,2.1,,93.3,,15.14,,302.8,,40.41,,10.22,1.07,0.05,0.71,4,0.32,1.8,5.4,0.7,24,,,,,,,,,,,,Failed_QC,,Failed_QC,8.46,,2.27,,16.18,,7.57,,57.7,24.2,18.2,,66.36,,5.62,
61078,1,BTM,61078_1_BTM,1.67,,14.4,,15.64,,285.85,,12.34,,9.41,1.01,0.05,0.31,3,0.23,1.6,4.2,0.7,25,,,,,,,,,,,,Failed_QC,,Failed_QC,3.6,,2.06,,47.28,,6.82,,57.7,22.2,20.2,,20.26,,3.71,
61078,2,TOP,61078_2_TOP,2.25,,26,,21.53,,302.1,,17.81,,11.23,3.76,0.37,0.28,30,0.22,0.7,3.9,0.8,13,,,,,,,,,,,,Failed_QC,,Failed_QC,,Insufficient_material,,Insufficient_material,7.6,,7.57,,7.3,56.4,36.3,,60.88,,1.75,
61078,2,BTM,61078_2_BTM,1.61,,,Below Detection,19.07,,167.74,,6.69,,11.03,4.72,0.73,0.16,76,0.19,0.5,1.1,0.5,8,,,,,,,,,,,,Failed_QC,,Failed_QC,0.52,,1.48,,7.08,,7.44,,5.3,61.1,33.6,,60.74,,1.51,
61078,3,TOP,61078_3_TOP,1.32,,87,,34.17,,810.39,,51.05,,7.02,1.53,0.07,0.3,8,0.21,2.3,60,1,22,,,,,,,,,,,,Failed_QC,,Failed_QC,5.38,,5.22,,3.07,,6.7,,13.4,56.4,30.2,,37.89,,3.46,
61078,3,BTM,61078_3_BTM,1.58,,,Insufficient_material,23.78,,491.35,,24.23,,2.75,0.5,0.07,0.16,9,0.13,0.01,41,0.8,29,,,,,,,,,,,,Failed_QC,,Failed_QC,0.11,,3.66,,1.66,,5.81,,,,,Insufficient_material,30.96,,1.34,
61078,4,TOP,61078_4_TOP,1.25,,84.7,,42.34,,541.85,,44.73,,8.74,1.11,0.07,0.27,5,0.3,2,14.1,1.1,111,,,,,,,,,,,,Failed_QC,,Failed_QC,6.47,,5.16,,4.6,,6.51,,14.7,48.9,36.4,,40.47,,3.93,
61078,4,BTM,61078_4_BTM,1.49,,23,,31.36,,332.6,,18.87,,4.84,0.36,0.08,0.14,10,0.19,0.2,17.7,1,73,,,,,,,,,,,,Failed_QC,,Failed_QC,0.85,,6.19,,1.64,,5.73,,15.7,50.7,33.7,,21.78,,2.03,
61078,5,TOP,61078_5_TOP,2.32,,102.8,,30.95,,849.38,,46.41,,9.56,1.8,0.05,0.39,6,0.16,3.5,22.3,1.3,58,,,,,,,,,,,,Failed_QC,,Failed_QC,0.43,,5.54,,2,,6.14,,27.2,40.6,32.2,,38.17,,2.92,
61078,5,BTM,61078_5_BTM,1.28,,,Insufficient_material,24.4,,896.42,,24.25,,9.72,1.72,0.07,0.24,9,0.12,0.3,4,0.9,43,,,,,,,,,,,,Failed_QC,,Failed_QC,0.22,,3.29,,1.65,,6.39,,,,,Insufficient_material,30.02,,1.86,
