"Proposal_ID","Sampling_Set","Core_Section","Sample_Name","Bulk_density_g_per_cm3","GWC_percent","Ca_meq_per_100g","Mg_meq_per_100g","Na_meq_per_100g","K_meq_per_100g","SO4_S_mg_per_kg","B_mg_per_kg","Zn_mg_per_kg","Mn_mg_per_kg","Cu_mg_per_kg","Fe_mg_per_kg","MBC_mg_per_kg","MBN_mg_per_kg","NO3_N_mg_per_kg","NH4_N_mg_per_kg","PO4_P_mg_per_kg","pH","WEOM_TOC_mg_per_kg","WEOM_TN_mg_per_kg","flag_Bulk_density","flag_GWC","flag_B","flag_Ca","flag_Cu","flag_Fe","flag_K","flag_Mg","flag_Mn","flag_Na","flag_SO4S","flag_Zn","flag_MBC","flag_MBN","flag_NO3N","flag_NH4N","flag_P","flag_pH","flag_WEOM_TOC","flag_WEOM_TN"
"61611","3","TOP","61611_3_TOP","0.84","83.9","13.6","5.39","0.3","0.48","6","0.3","7.6","85","7.3","690",,,"7.35","24.58","10.49","5.33","34.22","4.55",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61611","3","BTM","61611_3_BTM","0.78","74","13.9","5.03","0.39","0.35","7","0.3","4.3","93.6","9.9","797",,,"2.16","7.99","7.56","5.47","50.01","1.67",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61611","4","TOP","61611_4_TOP","1.17","55.5","14.2","3.9","0.14","1.31","7","0.45","8.35","110.8","7.3","355",,,"0.31","6.47","19.97","6.34","45.3","6.42",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61611","4","BTM","61611_4_BTM","1.37","35.28","13.7","5.15","0.16","0.72","3","0.4","1.3","49.7","7.7","202",,,"0.9","3.1","5.65","6.48","24.03","2.99",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61611","5","TOP","61611_5_TOP","1.17","53.04","14.8","4.16","0.17","1.29","6","0.4","7.2","44.9","6.2","337",,,"0.47","8.26","16.07","6.41","47.79","9.2",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61611","5","BTM","61611_5_BTM","1.19","32.52","11.5","4.28","0.17","0.43","4","0.3","0.85","21.4","6.3","177",,,"0.16","1.61","4.96","6.54","14.34","1.15",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61611","6","TOP","61611_6_TOP","1.17","64.07","13.9","3.86","0.17","1.31","7","0.4","10.65","64.2","7.3","434",,,"5.35","7.62","26.69","6.3","61.81","13.95",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61611","6","BTM","61611_6_BTM","1.21","34.95","14.3","4.99","0.18","0.93","4","0.4","2.15","87.8","7.6","168",,,"0.71","3.26","7","6.49","18.75","3.18",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61611","7","TOP","61611_7_TOP","0.64","86","7","2.25","0.08","0.46","14","0.25","21.4","18.5","4.7","880",,,"7.76","15.85","61.58","5.42","132.38","12.27",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61611","7","BTM","61611_7_BTM","0.76","84.79","4.5","1.25","0.14","0.22","13","0.25","6.8","15.6","6.3","1177",,,"12.14","8.48","27.91","4.79","72.74","20.34",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
