"Proposal_ID","Sampling_Set","Core_Section","Sample_Name","Bulk_Density","flag_Bulk_density"
"61804","7","BTM","61804_7_BTM",1.39,
"61805","1","TOP","61805_1_TOP",,
"61805","1","BTM","61805_1_BTM",,
"61805","2","TOP","61805_2_TOP",,
"61805","2","BTM","61805_2_BTM",,
"61805","3","TOP","61805_3_TOP",,
"61805","3","BTM","61805_3_BTM",,
"61805","4","TOP","61805_4_TOP",,
"61805","4","BTM","61805_4_BTM",,
"61805","5","TOP","61805_5_TOP",,
"61805","5","BTM","61805_5_BTM",,
"61805","6","TOP","61805_6_TOP",,
"61805","6","BTM","61805_6_BTM",,
"61805","7","TOP","61805_7_TOP",,
"61805","7","BTM","61805_7_BTM",,
"61805","8","TOP","61805_8_TOP",,
"61805","8","BTM","61805_8_BTM",,
"61805","9","TOP","61805_9_TOP",,
"61805","9","BTM","61805_9_BTM",,
"61806","1","TOP","61806_1_TOP",1.24,
"61806","1","BTM","61806_1_BTM",0.83,
"61806","2","TOP","61806_2_TOP",1.16,
"61806","2","BTM","61806_2_BTM",1.28,
"61806","3","TOP","61806_3_TOP",1.36,
"61806","3","BTM","61806_3_BTM",1.2,
"61806","4","TOP","61806_4_TOP",1.28,
"61806","4","BTM","61806_4_BTM",1.2,
"61806","5","TOP","61806_5_TOP",1.19,
"61806","5","BTM","61806_5_BTM",1.25,
"61806","6","TOP","61806_6_TOP",1.24,
"61806","6","BTM","61806_6_BTM",1.31,
"61806","7","TOP","61806_7_TOP",1.3,
"61806","7","BTM","61806_7_BTM",0.74,
"61806","8","TOP","61806_8_TOP",1.11,
"61806","8","BTM","61806_8_BTM",1.03,
