Proposal_ID,Sampling_Set,Core_Section,Sample_Name,Bulk_density_g_per_cm3,flag_Bulk_density
61257,5,TOP,61257_5_TOP,1.65,
61257,5,BTM,61257_5_BTM,0.88,
61257,6,TOP,61257_6_TOP,1.76,
61257,6,BTM,61257_6_BTM,0.87,
61257,7,TOP,61257_7_TOP,1.57,
61257,7,BTM,61257_7_BTM,0.77,
61257,8,TOP,61257_8_TOP,1.66,
61257,8,BTM,61257_8_BTM,0.76,
61257,9,TOP,61257_9_TOP,1.51,
61257,9,BTM,61257_9_BTM,1,
61258,1,TOP,61258_1_TOP,1.2,
61258,1,BTM,61258_1_BTM,1.01,
61258,2,TOP,61258_2_TOP,1.72,
61258,2,BTM,61258_2_BTM,1.71,
61258,3,TOP,61258_3_TOP,1.48,
61258,3,BTM,61258_3_BTM,1.04,
61258,4,TOP,61258_4_TOP,1.28,
61258,4,BTM,61258_4_BTM,0.96,
61258,5,TOP,61258_5_TOP,1.53,
61258,5,BTM,61258_5_BTM,1.29,
61258,6,TOP,61258_6_TOP,1.38,
61258,6,BTM,61258_6_BTM,1.3,
61343,1,TOP,61343_1_TOP,1.35,
61343,1,BTM,61343_1_BTM,1.24,
61343,2,TOP,61343_2_TOP,1.54,
61343,2,BTM,61343_2_BTM,1.29,
61343,3,TOP,61343_3_TOP,1.36,
61343,3,BTM,61343_3_BTM,0.78,
61343,4,TOP,61343_4_TOP,1.01,
61343,4,BTM,61343_4_BTM,1.37,
61343,5,TOP,61343_5_TOP,1.39,
61343,5,BTM,61343_5_BTM,1.18,
61343,6,TOP,61343_6_TOP,1.35,
61343,6,BTM,61343_6_BTM,1,
61343,7,TOP,61343_7_TOP,1.6,
61343,7,BTM,61343_7_BTM,1.14,
61343,8,TOP,61343_8_TOP,1.66,
61343,8,BTM,61343_8_BTM,1.59,
61389,1,TOP,61389_1_TOP,2.19,
61389,1,BTM,61389_1_BTM,2.05,
61389,10,TOP,61389_10_TOP,1.63,
61389,10,BTM,61389_10_BTM,1.26,
61389,11,TOP,61389_11_TOP,1.57,
61389,11,BTM,61389_11_BTM,1.6,
61389,12,TOP,61389_12_TOP,2.25,
61389,12,BTM,61389_12_BTM,1.22,
61389,13,TOP,61389_13_TOP,1.93,
61389,13,BTM,61389_13_BTM,1.38,
61389,14,TOP,61389_14_TOP,2,
61389,14,BTM,61389_14_BTM,1.39,
61389,15,TOP,61389_15_TOP,1.94,
61389,15,BTM,61389_15_BTM,1.57,
61389,16,TOP,61389_16_TOP,2.43,
61389,16,BTM,61389_16_BTM,1.52,
61389,17,TOP,61389_17_TOP,2.21,
61389,17,BTM,61389_17_BTM,1.53,
61389,18,TOP,61389_18_TOP,1.87,
61389,18,BTM,61389_18_BTM,1.8,
61389,19,TOP,61389_19_TOP,1.95,
61389,19,BTM,61389_19_BTM,0.86,
61389,2,TOP,61389_2_TOP,2.43,
61389,2,BTM,61389_2_BTM,1.7,
61389,20,TOP,61389_20_TOP,1.98,
61389,20,BTM,61389_20_BTM,1.62,
61389,21,TOP,61389_21_TOP,2.21,
61389,21,BTM,61389_21_BTM,1.82,
61389,22,TOP,61389_22_TOP,2.02,
61389,22,BTM,61389_22_BTM,2.02,
61389,23,TOP,61389_23_TOP,2.01,
61389,23,BTM,61389_23_BTM,1.77,
61389,24,TOP,61389_24_TOP,1.86,
61389,24,BTM,61389_24_BTM,1.77,
61389,3,TOP,61389_3_TOP,2,
61389,3,BTM,61389_3_BTM,1.79,
61389,4,TOP,61389_4_TOP,1.75,
61389,4,BTM,61389_4_BTM,1.7,
61389,5,TOP,61389_5_TOP,1.7,
61389,5,BTM,61389_5_BTM,1.7,
61389,6,TOP,61389_6_TOP,2.17,
61389,6,BTM,61389_6_BTM,1.61,
61389,7,TOP,61389_7_TOP,2.25,
61389,7,BTM,61389_7_BTM,1.43,
61389,8,TOP,61389_8_TOP,2.34,
61389,8,BTM,61389_8_BTM,1.89,
61389,9,TOP,61389_9_TOP,2.47,
61389,9,BTM,61389_9_BTM,1.99,
61412,1,TOP,61412_1_TOP,,Data_not_available
61412,1,BTM,61412_1_BTM,0.24,
61412,2,TOP,61412_2_TOP,0.21,
61412,2,BTM,61412_2_BTM,0.28,
61412,3,TOP,61412_3_TOP,0.46,
61412,3,BTM,61412_3_BTM,0.37,
61412,4,TOP,61412_4_TOP,0.37,
61412,4,BTM,61412_4_BTM,0.5,
61412,5,TOP,61412_5_TOP,0.37,
61412,5,BTM,61412_5_BTM,0.33,
61412,6,TOP,61412_6_TOP,0.55,
61412,6,BTM,61412_6_BTM,2,
61412,7,TOP,61412_7_TOP,1.03,
61412,7,BTM,61412_7_BTM,1.54,
61412,8,TOP,61412_8_TOP,1.14,
61412,8,BTM,61412_8_BTM,1.1,
61412,9,TOP,61412_9_TOP,,Failed_QC
61412,9,BTM,61412_9_BTM,1.86,
61414,1,TOP,61414_1_TOP,0.93,
61414,1,BTM,61414_1_BTM,0.75,
61414,2,TOP,61414_2_TOP,0.37,
61414,2,BTM,61414_2_BTM,,Insufficient_material
61414,3,TOP,61414_3_TOP,0.27,
61414,3,BTM,61414_3_BTM,,Insufficient_material
61414,4,TOP,61414_4_TOP,0.26,
61414,4,BTM,61414_4_BTM,,Insufficient_material
61414,5,TOP,61414_5_TOP,0.3,
61414,5,BTM,61414_5_BTM,,Insufficient_material
61414,6,TOP,61414_6_TOP,0.42,
61414,6,BTM,61414_6_BTM,0.41,
61414,7,TOP,61414_7_TOP,0.55,
61414,7,BTM,61414_7_BTM,,Insufficient_material
61414,8,TOP,61414_8_TOP,0.51,
61414,8,BTM,61414_8_BTM,0.23,
61414,9,TOP,61414_9_TOP,0.71,
61414,9,BTM,61414_9_BTM,0.4,
61417,1,TOP,61417_1_TOP,1.36,
61417,1,BTM,61417_1_BTM,1.4,
61417,2,TOP,61417_2_TOP,1.3,
61417,2,BTM,61417_2_BTM,1.24,
61417,3,TOP,61417_3_TOP,1.31,
61417,3,BTM,61417_3_BTM,1.43,
61417,4,TOP,61417_4_TOP,0.91,
61417,4,BTM,61417_4_BTM,1.74,
61417,5,TOP,61417_5_TOP,1.09,
61417,5,BTM,61417_5_BTM,1.61,
61417,6,TOP,61417_6_TOP,1.59,
61417,6,BTM,61417_6_BTM,1.42,
